Pedro Armendáriz,"Pedro Gregorio Armendáriz HastingsMay 9, 1912Mexico City, Distrito Federal, Mexico",m,Carmelita Bohr (m. 1938–1963; his death)
Henry Armetta,"Enrico ArmettaJuly 4, 1888Palermo, Sicily, Italy",m,Iole Armetta (1920–1945) (his death) (3 children)
Russell Arms,"Russell Lee ArmsFebruary 3, 1920Berkeley, California, U.S.",m,Mary Lynne Arms (19??–2012; his death)Barbara J. McGinnis (1966–1974; divorced)
Curtis Armstrong,"November 27, 1953 (age 65)Detroit, Michigan, U.S.",m,Elaine Aronson (m. 1994)
R.G. Armstrong,"Robert Golden Armstrong, Jr.[1]April 7, 1917Pleasant Grove, Alabama, U.S.",m,Ann Neale (m.1952-1972; 4 children)Susan M. Guthrie(m.1973-1976; divorced)Mary Craven (m.1993-2003; her death)
Robert Armstrong,"November 20, 1890Saginaw, Michigan, U.S.",m,Peggy Allenby(m. 1920; div. 1925)Ethel Virah Smith(m. 1926; div. 1931)Gladys Dubois(m. 1936; div. 1939)Claire Louise Frisbie Armstrong(m. 1940; his death 1973)
Desi Arnaz,"Desiderio Alberto Arnaz y de Acha IIIMarch 2, 1917Santiago de Cuba, Republic of Cuba (present-day Cuba)",m,Lucille Ball(m. 1940; div. 1960)Edith Mack Hirsch(m. 1963; died 1985)
James Arness,"James King AurnessMay 26, 1923Minneapolis, Minnesota, U.S.",m,Virginia Chapman(m. 1948; div. 1960)Janet Surtees (m. 1978)[1]
Will Arnett,"William Emerson ArnettMay 4, 1970 (age 48)Toronto, Ontario, Canada",m,Penelope Ann Miller(m. 1994; div. 1995)Amy Poehler(m. 2003; div. 2016)
Danny Arnold,"Arnold RothmannJanuary 23, 1925New York City, U.S.",m,Joanne Gilbert (m. 1955–1956)Donna Arnold (m. 1961–1995)
Edward Arnold,"Gunther Edward Arnold SchneiderFebruary 18, 1890New York City, U.S.",m,Harriet Marshall (1917–27) 3 childrenOlive Emerson (1929–49)Cleo McLain (1951–56) his death
Tom Arnold,"Thomas Duane ArnoldMarch 6, 1959 (age 59)Ottumwa, Iowa, U.S.",m,Roseanne Barr(m. 1990; div. 1994) Julie Lynn Champnella(m. 1995; div. 1999) Shelby Roos(m. 2002; div. 2008) Ashley Groussman (m. 2009)
Cliff Arquette,"Clifford Charles ArquetteDecember 27, 1905Toledo, Ohio, U.S.",m,Julie Harrison (m. 1934–1942)
David Arquette,"September 8, 1971 (age 47)Bentonville, Virginia, U.S.",m,Courteney Cox(m. 1999; div. 2013)Christina McLarty (m. 2015)
Lewis Arquette,"Lewis Michael ArquetteDecember 14, 1935Chicago, Illinois, U.S.",m,Brenda Nowak(m. 1963; died 1997)
Dana Ashbrook,"Dana Vernon AshbrookMay 24, 1967 (age 51)[1]San Diego, California, U.S.[1]",m,Kate Rogal (m. 2015)
Linden Ashby,"Clarence Linden Garnett Ashby IIIMay 23, 1960 (age 58)Atlantic Beach, Florida, U.S.",m,Susan Walters (1986–present)
John Asher,"John MalloryJanuary 13, 1971 (age 47)Los Angeles, California, U.S.",m,Vanessa Lee Asher(m. 1994; div. 1996)Jenny McCarthy(m. 1999; div. 2005)
Matthew Ashford,"Matthew Nile AshfordJanuary 29, 1960 (age 58)Davenport, Iowa, U.S.",m,Christina Saffran (divorced)[1] Lana Buss married 11/27/16
John Ashley,"John AtchleyDecember 25, 1934Kansas City, Missouri, U.S.",m,Deborah Walley(m. 1964; div. 1966)Nancy Moore (m. 1966–??)Jan Ashley (m. 19??)
John Ashton,"John David AshtonFebruary 22, 1948 (age 70)Springfield, Massachusetts, U.S.",m,Victoria Marie Runn (1968-1970; divorced)Bridget Alison Baker (1976-2001; divorced)
Ed Asner,"Yitzhak Edward Asner[1]November 15, 1929 (age 89)Kansas City, Missouri, U.S.[2]",m,Nancy Sykes(m. 1959; div. 1988)Cindy Gilmore(m. 1998; div. 2015)
Fred Astaire,"Frederick AusterlitzMay 10, 1899Omaha, Nebraska, U.S.",m,Phyllis Livingston Potter(m. 1933; died 1954) Robyn Smith (m. 1980)
