Hilary Duff,"Hilary Erhard DuffSeptember 28, 1987 (age 31)Houston, Texas, U.S.",Mike Comrie(m. 2010; div. 2016)
Bob Dylan,"Robert Allen ZimmermanMay 24, 1941 (age 77)Duluth, Minnesota, U.S.",Sara Dylan(m. 1965; div. 1977)Carolyn Dennis(m. 1986; div. 1992)
Linda Eder,"February 3, 1961 (age 57)Tucson, Arizona, U.S.",Frank Wildhorn (1998-2004)
Gideon Emery,"12 September 1972 (age 46)Windsor, England, U.K.",Autumn Withers (2014–present)
Faith Evans,"Faith Renée EvansJune 10, 1973 (age 45)Lakeland, Florida, U.S.",The Notorious B.I.G.(m. 1994; died 1997)Todd Russaw(m. 1998; div. 2011)Stevie J (m. 2018)
Mary Faber,"Mary Benton FaberAugust 8, 1979 (age 39)Greenville, North Carolina, United States",Gabe Witcher (m. 2013)
"""FanFan"" Fan Wei-chi","18 March 1976 (age 42)Columbus, Ohio, United States",Blackie Chen (m. 2011)
Evan Farmer,"Evan Ragland Farmer, Jr.July 28, 1972 (age 46)Asmara, Eritrea, Ethiopia","Andrea Smith(October 22, 2006 – present)"
Fergie,"Stacy Ann FergusonMarch 27, 1975 (age 43)Hacienda Heights, California, or Whittier, California, United States (sources differ)",Josh Duhamel(m. 2009; separated 2017)
Stephen Fincher,"February 7, 1973 (age 45)Memphis, Tennessee, U.S.",Lynn Fincher
Dan Finnerty,"January 22, 1970 (age 48)Rochester, New York, U.S.",Kathy Najimy (m. 1998)
Schuyler Fisk,"Schuyler Elizabeth FiskJuly 8, 1982 (age 36)Los Angeles, California, U.S.",Chapman Bullock (m. 2012)
Renée Fleming,"Renée Lynn FlemingFebruary 14, 1959 (age 59)Indiana, Pennsylvania, U.S.",Rick Ross(m. 1989; div. 2000)Tim Jessell (m. 2011)
Luis Fonsi,"Luis Alfonso Rodríguez López-CeperoApril 15, 1978 (age 40)San Juan, Puerto Rico, U.S.",Águeda López (m. 2014)Adamari López(m. 2006; div. 2010)
Aretha Franklin,"Aretha Louise FranklinMarch 25, 1942Memphis, Tennessee, U.S.",Ted White(m. 1961; div. 1969)Glynn Turman(m. 1978; div. 1984)
Josh Gad,"Joshua Ilan GadFebruary 23, 1981 (age 37)Hollywood, Florida, U.S.",Ida Darvish (m. 2008)
Mayte Garcia,"Mayte Jannell GarciaNovember 12, 1973 (age 45)Fort Rucker, Alabama, U.S.",Prince(m. 1996; div. 2000)
