George Barker,"George Lincoln BarkerAugust 24, 1951 (age 67)Eldorado, Illinois, U.S.",Democratic,Jane
John Barker,"April 16, 1951 (age 67)",Republican,April
Toby Barker,"December 31, 1981 (age 36)Meridian, Mississippi, U.S.",Independent (since 2017),Kate Northrop
Andrew Barkis,"Chehalis, Washington",Republican,Lisa
Lou Barletta,"Louis James BarlettaJanuary 28, 1956 (age 62)Hazleton, Pennsylvania, U.S.",Republican,Mary Malloy
William K. Barlow,"William Kyle BarlowMarch 13, 1936 (age 82)Isle of Wight County, Virginia",Democratic,Ann Taylor Rowell
Benjamin S. Barnes,"March 30, 1975 (age 43)Peoria, Illinois, United States",Democratic,Married
Peter J. Barnes Jr.,"September 12, 1928East Providence, Rhode Island, U.S.",Democratic,Barbara
Vicki Barnett,"July 8, 1954 (age 64)Detroit, Michigan, U.S.",Democratic,Mark Steckloff
Phil Barnhart,"1946 (age 71–72)New Rochelle, New York",Democratic,Florence
Andy Barr,"Garland Hale Barr IVJuly 24, 1973 (age 45)Lexington, Kentucky, U.S.",Republican,Eleanor Leavell (m. 2008)
Bob Barr,"Robert Laurence Barr Jr.November 5, 1948 (age 70)Iowa City, Iowa, U.S.","Republican (Before 2004, 2011–present)Independent (2004–2006)Libertarian (2006–2011)",First spouse (Divorced 1976)Gail Barr (1976–1986)Jeri Dobbin (1986–present)
Regina Barr,"February 17, 1965 (age 53)",Republican Party of Minnesota,Kevin
Roseanne Barr,"Roseanne Cherrie BarrNovember 3, 1952 (age 66)Salt Lake City, Utah, U.S.",Green (2008–2012)Peace and Freedom (2012–2013),Bill Pentland(m. 1974; div. 1990)Tom Arnold(m. 1990; div. 1994)Ben Thomas(m. 1995; div. 2002)
Timothy Barr,"Georgia, United States",Republican,Melinda
Robert Barra,1959/1960 (age 58–59)[1],Republican,Celeste
Taylor Barras,"Taylor Francis BarrasJanuary 1957 (age 61)New Iberia, Louisiana, U.S.",Democratic (Before 2011)Republican (2011–present),Cheryl Lopez Barras
John Barrasso,"John Anthony Barrasso IIIJuly 21, 1952 (age 66)Reading, Pennsylvania, U.S.",Republican,Linda Nix (divorced)Bobbi Brown
Greg Barreto,None,Republican,Chris
Elizabeth Barrett-Anderson,"July 21, 1953 (age 65)Guam, U.S.",Republican,Daniel Anderson
Bob Barrett,1967 (age 50–51),Republican Party of Minnesota,Judi
Debby Barrett,None,Republican,Mike
